object,schema,name,kind,hops_from_seed,mapped_uc,currently_documented,wiki_path,slop_t4_hits
dwh_dbo.dim_compensationreason,DWH_dbo,Dim_CompensationReason,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_compensationreason,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CompensationReason.md,0
dwh_dbo.dim_contracttype,DWH_dbo,Dim_ContractType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_contracttype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContractType.md,1
dwh_dbo.dim_country,DWH_dbo,Dim_Country,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_country,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,0
dwh_dbo.dim_countrybin,DWH_dbo,Dim_CountryBin,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_countrybin,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryBin.md,0
dwh_dbo.dim_countryip,DWH_dbo,Dim_CountryIP,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_countryip,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryIP.md,0
dwh_dbo.dim_credittype,DWH_dbo,Dim_CreditType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_credittype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CreditType.md,0
dwh_dbo.dim_currency,DWH_dbo,Dim_Currency,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_currency,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Currency.md,0
dwh_dbo.dim_customer,DWH_dbo,Dim_Customer,seed_dwh_internal,0,pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,0
dwh_dbo.dim_date,DWH_dbo,Dim_Date,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_date,false,,0
dwh_dbo.dim_documentstatus,DWH_dbo,Dim_DocumentStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_documentstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_DocumentStatus.md,0
dwh_dbo.dim_evmatchstatus,DWH_dbo,Dim_EvMatchStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_evmatchstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_EvMatchStatus.md,0
dwh_dbo.dim_exchangeinfo,DWH_dbo,Dim_ExchangeInfo,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_exchangeinfo,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ExchangeInfo.md,0
dwh_dbo.dim_extendeduserfield,DWH_dbo,Dim_ExtendedUserField,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_extendeduserfield,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ExtendedUserField.md,0
dwh_dbo.dim_fund,DWH_dbo,Dim_Fund,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_fund,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Fund.md,0
dwh_dbo.dim_fundingtype,DWH_dbo,Dim_FundingType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_fundingtype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_FundingType.md,0
dwh_dbo.dim_fundtype,DWH_dbo,Dim_FundType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_fundtype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_FundType.md,0
dwh_dbo.dim_funnel,DWH_dbo,Dim_Funnel,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_funnel,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Funnel.md,0
dwh_dbo.dim_gurustatus,DWH_dbo,Dim_GuruStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_gurustatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_GuruStatus.md,0
dwh_dbo.dim_historysplitratio,DWH_dbo,Dim_HistorySplitRatio,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_historysplitratio,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_HistorySplitRatio.md,1
dwh_dbo.dim_instrument,DWH_dbo,Dim_Instrument,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,1
dwh_dbo.dim_instrument_correlation,DWH_dbo,Dim_Instrument_Correlation,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,true,knowledge/synapse/Wiki/DWH_dbo/Views/Dim_Instrument_Correlation.md,0
dwh_dbo.dim_label,DWH_dbo,Dim_Label,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_label,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Label.md,0
dwh_dbo.dim_language,DWH_dbo,Dim_Language,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_language,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Language.md,0
dwh_dbo.dim_manager,DWH_dbo,Dim_Manager,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_manager,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Manager.md,0
dwh_dbo.dim_mifidcategorization,DWH_dbo,Dim_MifidCategorization,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mifidcategorization,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MifidCategorization.md,0
dwh_dbo.dim_mirror,DWH_dbo,Dim_Mirror,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mirror,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Mirror.md,0
dwh_dbo.dim_mirrortype,DWH_dbo,Dim_MirrorType,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mirrortype,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MirrorType.md,0
dwh_dbo.dim_movemoneyreason,DWH_dbo,Dim_MoveMoneyReason,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_movemoneyreason,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MoveMoneyReason.md,1
dwh_dbo.dim_paymentstatus,DWH_dbo,Dim_PaymentStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_paymentstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.md,0
dwh_dbo.dim_pendingclosurestatus,DWH_dbo,Dim_PendingClosureStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_pendingclosurestatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PendingClosureStatus.md,0
dwh_dbo.dim_phoneverified,DWH_dbo,Dim_PhoneVerified,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_phoneverified,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PhoneVerified.md,0
dwh_dbo.dim_platform,DWH_dbo,Dim_Platform,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_platform,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Platform.md,0
dwh_dbo.dim_playerlevel,DWH_dbo,Dim_PlayerLevel,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerlevel,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,0
dwh_dbo.dim_playerstatus,DWH_dbo,Dim_PlayerStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,0
dwh_dbo.dim_playerstatusreasons,DWH_dbo,Dim_PlayerStatusReasons,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatusreasons,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatusReasons.md,0
dwh_dbo.dim_playerstatussubreasons,DWH_dbo,Dim_PlayerStatusSubReasons,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatussubreasons,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatusSubReasons.md,0
dwh_dbo.dim_positionchangelog,DWH_dbo,Dim_PositionChangeLog,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionChangeLog.md,0
dwh_dbo.dim_range,DWH_dbo,Dim_Range,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_range,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Range.md,0
dwh_dbo.dim_redeemreason,DWH_dbo,Dim_RedeemReason,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_redeemreason,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RedeemReason.md,0
dwh_dbo.dim_redeemstatus,DWH_dbo,Dim_RedeemStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_redeemstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RedeemStatus.md,0
dwh_dbo.dim_regulation,DWH_dbo,Dim_Regulation,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.md,0
dwh_dbo.dim_riskclassification,DWH_dbo,Dim_RiskClassification,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_riskclassification,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RiskClassification.md,0
dwh_dbo.dim_riskmanagementstatus,DWH_dbo,Dim_RiskManagementStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_riskmanagementstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RiskManagementStatus.md,0
dwh_dbo.dim_riskstatus,DWH_dbo,Dim_RiskStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_riskstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RiskStatus.md,0
dwh_dbo.dim_screeningstatus,DWH_dbo,Dim_ScreeningStatus,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_screeningstatus,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ScreeningStatus.md,0
dwh_dbo.dim_state_and_province,DWH_dbo,Dim_State_and_Province,seed_dwh_internal,0,dwh.gold_sql_dp_prod_we_dwh_dbo_dim_state_and_province,true,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_State_and_Province.md,0
