wiki_path,synapse_schema,wiki_stem,matched_uc_full_name,match_confidence
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Commissions.md,BI_DB_dbo,Function_Revenue_Commissions,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Commissions.review-needed.md,BI_DB_dbo,Function_Revenue_Commissions.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee.lineage.md,BI_DB_dbo,Function_Revenue_ConversionFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee.md,BI_DB_dbo,Function_Revenue_ConversionFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee_WithPositionData.lineage.md,BI_DB_dbo,Function_Revenue_ConversionFee_WithPositionData.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee_WithPositionData.md,BI_DB_dbo,Function_Revenue_ConversionFee_WithPositionData,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_CryptoToFiat_C2F.lineage.md,BI_DB_dbo,Function_Revenue_CryptoToFiat_C2F.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_CryptoToFiat_C2F.md,BI_DB_dbo,Function_Revenue_CryptoToFiat_C2F,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Dividend.lineage.md,BI_DB_dbo,Function_Revenue_Dividend.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Dividend.md,BI_DB_dbo,Function_Revenue_Dividend,main.etoro_kpi_prep.v_revenue_dividend,fuzzy
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_DormantFee.lineage.md,BI_DB_dbo,Function_Revenue_DormantFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_DormantFee.md,BI_DB_dbo,Function_Revenue_DormantFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_FullCommissions.lineage.md,BI_DB_dbo,Function_Revenue_FullCommissions.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_FullCommissions.md,BI_DB_dbo,Function_Revenue_FullCommissions,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_FullCommissions.review-needed.md,BI_DB_dbo,Function_Revenue_FullCommissions.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_InterestFee.lineage.md,BI_DB_dbo,Function_Revenue_InterestFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_InterestFee.md,BI_DB_dbo,Function_Revenue_InterestFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_OptionsPlatform.lineage.md,BI_DB_dbo,Function_Revenue_OptionsPlatform.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_OptionsPlatform.md,BI_DB_dbo,Function_Revenue_OptionsPlatform,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_RolloverFee.lineage.md,BI_DB_dbo,Function_Revenue_RolloverFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_RolloverFee.md,BI_DB_dbo,Function_Revenue_RolloverFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_RolloverFee.review-needed.md,BI_DB_dbo,Function_Revenue_RolloverFee.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_SDRT.lineage.md,BI_DB_dbo,Function_Revenue_SDRT.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_SDRT.md,BI_DB_dbo,Function_Revenue_SDRT,main.etoro_kpi_prep.v_revenue_sdrt,fuzzy
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Share_Lending.lineage.md,BI_DB_dbo,Function_Revenue_Share_Lending.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Share_Lending.md,BI_DB_dbo,Function_Revenue_Share_Lending,main.etoro_kpi_prep.v_revenue_share_lending,fuzzy
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_SpotAdjustFee.lineage.md,BI_DB_dbo,Function_Revenue_SpotAdjustFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_SpotAdjustFee.md,BI_DB_dbo,Function_Revenue_SpotAdjustFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_SpotAdjustFee.review-needed.md,BI_DB_dbo,Function_Revenue_SpotAdjustFee.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_StakingFee.lineage.md,BI_DB_dbo,Function_Revenue_StakingFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_StakingFee.md,BI_DB_dbo,Function_Revenue_StakingFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TicketFee.lineage.md,BI_DB_dbo,Function_Revenue_TicketFee.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TicketFee.md,BI_DB_dbo,Function_Revenue_TicketFee,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TicketFee.review-needed.md,BI_DB_dbo,Function_Revenue_TicketFee.review-needed,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TicketFeeByPercent.lineage.md,BI_DB_dbo,Function_Revenue_TicketFeeByPercent.lineage,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TicketFeeByPercent.md,BI_DB_dbo,Function_Revenue_TicketFeeByPercent,,none
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_TicketFeeByPercent.review-needed.md,BI_DB_dbo,Function_Revenue_TicketFeeByPercent.review-needed,,none
