source,wiki_md,kind,db,schema,table,uc_target,mapped,uc_exists,uc_table_comment_set,uc_total_cols,uc_commented_cols,uc_tier_drift_cols,uc_col_coverage_pct,bucket
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MirrorStatus.md,Table,etoro,Dictionary,MirrorStatus,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MirrorType.md,Table,etoro,Dictionary,MirrorType,main.general.bronze_etoro_dictionary_mirrortype,yes,yes,yes,3,2,0,66.7,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MoveMoneyReason.md,Table,etoro,Dictionary,MoveMoneyReason,main.general.bronze_etoro_dictionary_movemoneyreason,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.MSLCloseMirrorTrigger.md,Table,etoro,Dictionary,MSLCloseMirrorTrigger,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.NoteType.md,Table,etoro,Dictionary,NoteType,main.general.bronze_etoro_dictionary_notetype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.NotificationMessageStatus.md,Table,etoro,Dictionary,NotificationMessageStatus,main.general.bronze_etoro_dictionary_notificationmessagestatus,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.NotificationStatus.md,Table,etoro,Dictionary,NotificationStatus,main.general.bronze_etoro_dictionary_notificationstatus,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.NotificationTrigger.md,Table,etoro,Dictionary,NotificationTrigger,main.general.bronze_etoro_dictionary_notificationtrigger,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.NotificationType.md,Table,etoro,Dictionary,NotificationType,main.general.bronze_etoro_dictionary_notificationtype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.NotificationTypeName.md,Table,etoro,Dictionary,NotificationTypeName,main.general.bronze_etoro_dictionary_notificationtypename,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Objects.md,Table,etoro,Dictionary,Objects,main.general.bronze_etoro_dictionary_objects,yes,yes,yes,4,4,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OMPDThresholdType.md,Table,etoro,Dictionary,OMPDThresholdType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OMSStrategyType.md,Table,etoro,Dictionary,OMSStrategyType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OpenPositionActionType.md,Table,etoro,Dictionary,OpenPositionActionType,main.bi_db.bronze_etoro_dictionary_openpositionactiontype,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OperationType.md,Table,etoro,Dictionary,OperationType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OperationTypesForBlocking.md,Table,etoro,Dictionary,OperationTypesForBlocking,main.general.bronze_etoro_dictionary_operationtypesforblocking,yes,yes,yes,2,1,0,50.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OptOutReason.md,Table,etoro,Dictionary,OptOutReason,main.general.bronze_etoro_dictionary_optoutreason,yes,yes,yes,2,2,0,100.0,OK
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrderExitOperationType.md,Table,etoro,Dictionary,OrderExitOperationType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrderFillBehaviorType.md,Table,etoro,Dictionary,OrderFillBehaviorType,,no,no,no,0,0,0,0.0,NOT_MAPPED
PRODSCHEMAS,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.OrderForExecutionCloseActionType.md,Table,etoro,Dictionary,OrderForExecutionCloseActionType,,no,no,no,0,0,0,0.0,NOT_MAPPED
