python : [synapse] connecting to prod-synapse-dataplatform-we.sql.azuresynapse.net / sql_dp_prod_we...
At C:\Users\guyman\AppData\Local\Temp\2\ps-script-c32c4adc-4b9c-44ab-b73b-50b8d5a0b39c.ps1:76 char:1
+ python tools/parity_check_ddr_2025.py 2>&1 | Out-File -FilePath ddr_p ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([synapse] conne...l_dp_prod_we...:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[synapse-prod] 487 dateids in 11.6s

[uc] connecting (profile=name-of-profile)...

[uc] 487 dateids in 14.2s

DateID,syn_deposits,uc_deposits,diff_deposits,syn_tp_equity,uc_tp_equity,diff_tp_equity,syn_sdrt,uc_sdrt,diff_sdrt,syn_upnl_change,uc_upnl_change,diff_upnl_change,syn_funded,uc_funded,diff_funded,mismatch_metrics
20250820,38670174.970000,,,18485120185.044500,18485120185.044500,0.000000,7492.310000,7492.310000,0.000000,261390517.990000,261390517.990000,0.000000,3461571,3461571,0,deposits
20250821,30209522.240000,,,18254283142.324500,18254283142.324500,0.000000,11402.580000,11402.580000,0.000000,-238641912.790000,-238641912.790000,0.000000,3462531,3462531,0,deposits
20250822,40097718.750000,,,19099756284.634500,19099756284.634500,0.000000,5639.770000,5639.770000,0.000000,826021938.640000,826021938.640000,0.000000,3462953,3462953,0,deposits
20250823,9424489.510000,,,19017616110.434500,19017616110.434500,0.000000,,,,-87531441.470000,-87531441.470000,0.000000,3463118,3463118,0,deposits
20250824,9830637.890000,,,18930938696.354500,18930938696.354500,0.000000,,,,-93001467.930000,-93001467.930000,0.000000,3463412,3463412,0,deposits
20250825,39279234.150000,,,18411587967.034500,18411587967.034500,0.000000,,,,-526395067.710000,-526395067.710000,0.000000,3470271,3470271,0,deposits
20250826,35011206.410000,,,18771685409.454500,18771685409.454500,0.000000,6871.330000,6871.330000,0.000000,351438371.720000,351438371.720000,0.000000,3476727,3476727,0,deposits
20250827,37034694.340000,,,18629978103.724500,18629978103.724500,0.000000,5156.380000,5156.380000,0.000000,-150300940.330000,-150300940.330000,0.000000,3487605,3487605,0,deposits
20250828,38697752.820000,,,18802441199.884500,18802441199.884500,0.000000,4592.170000,4592.170000,0.000000,157769295.860000,157769295.860000,0.000000,3488401,3488401,0,deposits
20250829,40831352.030000,,,18394699210.244500,18394699210.244500,0.000000,7417.260000,7417.260000,0.000000,-424885329.000000,-424885329.000000,0.000000,3488852,3488852,0,deposits
20250830,10292687.290000,,,18416777139.014500,18416777139.014500,0.000000,,,,16783693.140000,16783693.140000,0.000000,3489117,3489117,0,deposits
20250831,10118860.560000,,,18352365340.124500,18352365340.124500,0.000000,,,,-69503369.260000,-69503369.260000,0.000000,3489497,3489497,0,deposits
20250901,38579924.800000,,,18330401102.914500,18330401102.914500,0.000000,6964.010000,6964.010000,0.000000,-30701368.060000,-30701368.060000,0.000000,3494280,3494280,0,deposits
20250902,43460807.800000,,,18484836631.904500,18484836631.904500,0.000000,6886.140000,6886.140000,0.000000,144775506.350000,144775506.350000,0.000000,3495610,3495610,0,deposits
