idx,source_file,uc_table,uc_column,status,error
46,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Amount_Tier_3M_CO,OK,
47,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,Amount_Tier_3M_Deposits,OK,
48,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,AccountSubProgram,OK,
49,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,CardCreateDate,OK,
50,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYC_Experience_Level,OK,
51,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYC_Planned_Invested_Amount,OK,
52,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,KYC_CFD_Level,OK,
53,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,IOB_Opt_In,OK,
54,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,IOB_Opt_In_ValidFrom,OK,
55,knowledge\synapse\Wiki\BI_DB_dbo\Views\BI_DB_MarketingCloudDaily_V.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,AmountToClubUpgrade,OK,
