idx,source_file,uc_table,uc_column,status,error
66,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,DLTOpen,OK,
67,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,DLTClose,OK,
68,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,OpenMarkupByUnits,OK,
69,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,Description,OK,
70,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,IsBuy,OK,
71,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,CreditID,OK,
72,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_MIMO_Trading_Platform.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform,DateID,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
73,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_MIMO_Trading_Platform.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform,Date,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
74,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_MIMO_Trading_Platform.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform,RealCID,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
75,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_MIMO_Trading_Platform.alter.sql,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform,MIMOAction,FAIL,"[TABLE_OR_VIEW_NOT_FOUND] The table or view `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_trading_platform` cannot be found. Verify the spelling and correctness of the schema and catalog.
If you did not qualify the name with a schema, verify the current_schema() output, or qualify the name with the correct schema and catalog.
To tolerate the error on drop use DROP VIEW IF EXISTS or DROP TABLE IF EXISTS. SQLSTATE: 42P01; line 1 pos 12"
