source_schema,catalog,uc_schema,uc_table,col_count,commented,missing,pct_commented
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,107,107,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_customerchangetype,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_date,46,46,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_desk,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_documentstatus,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_evmatchstatus,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_exchangeinfo,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_extendeduserfield,4,4,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_fund,9,9,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_fundingtype,9,9,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_fundtype,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_funnel,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_gurustatus,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_historysplitratio,9,9,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_instrument,47,47,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_label,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_language,8,8,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_manager,13,13,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_mifidcategorization,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_mirror,26,26,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_mirrortype,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_movemoneyreason,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_paymentstatus,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_pendingclosurestatus,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_phoneverified,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_platform,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_platformtype,12,12,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_playerlevel,12,12,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_playerstatus,15,15,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_playerstatusreasons,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_playerstatussubreasons,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_range,4,4,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_redeemreason,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_redeemstatus,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_regulation,7,7,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_riskclassification,4,4,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_riskmanagementstatus,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_riskstatus,7,7,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_screeningstatus,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_socialnetwork,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_state_and_province,5,5,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_threedsresponsetypes,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_verificationlevel,6,6,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_verificationstatus,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_worldcheck,3,3,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,139,139,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,86,86,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,17,17,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,74,74,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_guru_copiers,12,12,0,100.0
DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_history_cost,28,28,0,100.0
