ProcedureName,TableName,FrequencySP,ProcessName,Priority,max_update,modify_date,freshness_method,tableau_workbooks,total_views_sum,newest_wb_updated,newest_wb_age_days,is_feeder,verdict,decision
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_PlayerLevel_Fails,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:58,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_PlayerLevel_Data_PIs,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:58,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_PlayerLevel_Data,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:58,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CommissionsAndFails_PerCID,Dealing_dbo.Dealing_PlayerLevel_Fails_PIs,Daily,SB_Daily,0,5/31/2026 6:31,12/19/2023 14:58,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_CopierAnalysis,Dealing_dbo.Dealing_CopierAnalysis,Daily,SB_Daily,0,5/31/2026 7:01,1/24/2024 10:29,UpdateDate,1,2502,5/31/2026,0,,KEEP,
Dealing_dbo.SP_DailySpread_ModeFrequency,Dealing_dbo.Dealing_DailySpread_ModeFrequency,Daily,SB_Daily,0,5/31/2026 6:32,3/12/2024 15:04,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_DailyVariableSpread,Dealing_dbo.Dealing_DailyVariableSpread,Daily,SB_Daily,0,5/31/2026 6:21,12/18/2023 18:54,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_DailyZeroPnL_Stocks,Dealing_dbo.Dealing_DailyZeroPnL_Stocks,Daily,SB_Daily,0,5/31/2026 6:29,2/6/2024 15:51,UpdateDate,0,0,,,Y,B_FEEDER_KEEP,
Dealing_dbo.SP_DataForDuco,Dealing_dbo.Dealing_Duco_EODRecon,Daily,SB_Daily,0,5/30/2026 6:28,9/11/2024 8:51,UpdateDate,2,5558,8/19/2025,285,Y,KEEP,
Dealing_dbo.SP_DataForDuco,Dealing_dbo.Dealing_Duco_ActivityRecon,Daily,SB_Daily,0,5/30/2026 6:28,9/11/2024 8:51,UpdateDate,1,5233,8/19/2025,285,Y,KEEP,
