ProcedureName,TableName,FrequencySP,ProcessName,Priority,blacklist_reason,source_phase,source_verdict,max_update,modify_date,days_stale
BI_DB_dbo.SP_EY_Audit_RedeemsFee,BI_DB_dbo.BI_DB_EY_Audit_RedeemsFee,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Reopen_Positions,BI_DB_dbo.BI_DB_EY_Audit_Closed_Positions_IsReopen1,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_RollOverFee,BI_DB_dbo.BI_DB_EY_Audit_RollOverFees,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_EY_Audit_Withdraws_With_PIPs,BI_DB_dbo.EY_Audit_Automation_BO_Withdraws_With_PIPs,Daily,SB_Daily,10,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_PIPs_Report_MID_Settings,BI_DB_dbo.BI_DB_PIPs_Report_MID_Settings,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_Reg_UK_Compliance_SocialActivity,BI_DB_dbo.BI_DB_Reg_UK_Compliance_SocialActivity,Daily,SB_Daily,20,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_Reg_UK_Compliance_SocialActivityM,BI_DB_dbo.BI_DB_Reg_UK_Compliance_SocialActivityM,Daily,SB_Daily,20,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_Social_Activity,BI_DB_dbo.BI_DB_Social_Activity,Daily,SB_Daily,1,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_Social_Activity_GDRP,BI_DB_dbo.BI_DB_Social_Activity_GDRP_PostsComments,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_Social_Activity_Updates,BI_DB_dbo.BI_DB_Social_Activity_Updates,Daily,SB_Daily,1,A4_DAILY_90D,A0,A4_DAILY_90D,,,
BI_DB_dbo.SP_Withdraw_Rollback_PIPs,BI_DB_dbo.BI_DB_Withdraw_Rollback_PIPs,Daily,SB_Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
DataBricks-DLT_Recon,internal-sources/Gold/DE/DLT/Reconciliation_Report,Daily,Daily,0,A4_DAILY_90D,A0,A4_DAILY_90D,,,
