ProcedureName,TableName,FrequencySP,ProcessName,Priority,object_type,max_update,modify_date,freshness_method,days_stale,verdict,decision
BI_DB_dbo.SP_Crypto_Top_1000_List,BI_DB_dbo.Crypto_Top_1000_List,Daily,SB_Daily,0,,,,,,A3_TABLE_MISSING,blacklist
BI_DB_dbo.SP_CryptoMarketingList,BI_DB_dbo.BI_DB_CryptoMarketingList,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:00,6/13/2023 12:30,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CustomerFirst5OpenPositions,BI_DB_dbo.BI_DB_CustomerFirst5OpenPositions,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:04,4/29/2021 15:51,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CustomerFirst5OpenPositions,BI_DB_dbo.BI_DB_CustomerCross,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:05,4/29/2021 15:51,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CustomerFirst5OpenPositions,BI_DB_dbo.BI_DB_CustomerCross_New,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:05,4/29/2021 15:51,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_CySEC_Submission_ICF,BI_DB_dbo.BI_DB_CySEC_Submission_ICF,Daily,SB_Daily,0,USER_TABLE,5/31/2026,12/16/2024 9:55,UpdateDate,0.5,KEEP,KEEP
BI_DB_dbo.SP_D_Compliance_Surveillance_KYC_PnL_Monitoring,BI_DB_dbo.BI_DB_Compliance_Surveillance_KYC_PnL_Monitoring,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:34,1/14/2025 10:03,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_D_Compliance_Surveillance_ShortTermTrades,BI_DB_dbo.BI_DB_Compliance_Surveillance_ShortTermTrades,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:04,1/16/2024 12:02,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_D_Compliance_Surveillance_Snapshot,BI_DB_dbo.BI_DB_Compliance_Surveillance_Snapshot,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:17,1/16/2024 13:23,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Daily_CID_Dividend_TaxReport,BI_DB_dbo.BI_DB_Daily_CID_Dividend_TaxReport,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:52,6/16/2021 5:40,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Daily_HighCashoutEmailsForManagement,BI_DB_dbo.BI_DB_Daily_HighCashoutEmailsForManagement,Daily,SB_Daily,0,USER_TABLE,5/31/2026,11/17/2024 8:36,UpdateDate,0.5,KEEP,KEEP
BI_DB_dbo.SP_Daily_Open_Closed_Position,BI_DB_dbo.BI_DB_Daily_Open_Closed_Position,Daily,SB_Daily,0,USER_TABLE,5/31/2026,5/30/2024 8:44,UpdateDate,0.5,KEEP,KEEP
BI_DB_dbo.SP_DailyGain_History,BI_DB_dbo.BI_DB_DailyGain_History,Daily,SB_Daily,0,USER_TABLE,,3/19/2024 14:30,modify_date,802.9,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_DailyNOP_ByInstrument,BI_DB_dbo.BI_DB_DailyNOP_ByInstrument,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:54,4/29/2021 15:54,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_DailyPanel_Copy,BI_DB_dbo.BI_DB_DailyPanel_Copy,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:53,1/3/2024 12:29,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_DailyRiskAlert,BI_DB_dbo.BI_DB_DailyRiskAlert,Daily,SB_Daily,0,USER_TABLE,5/31/2026 7:05,11/17/2024 8:36,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_DCM_Dashboard,BI_DB_dbo.BI_DB_DCM_Dashboard,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:26,7/6/2023 9:41,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_DDR_Fact_MIMO_Options_Platform,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_Options_Platform,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:02,5/24/2026 15:06,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_DDR_Fact_MIMO_Trading_Platform,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_Trading_Platform,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:54,6/17/2025 6:35,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_DDR_Fact_Non_Revenue_Generating_Actions,BI_DB_dbo.BI_DB_DDR_Fact_Non_Revenue_Generating_Actions,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:54,5/24/2026 15:05,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_DDR_Process_Monitor,BI_DB_dbo.BI_DB_DDR_Process_Monitor,Daily,SB_Daily,0,USER_TABLE,,11/12/2024 17:21,modify_date,564.8,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_Demo_CID_Panel,BI_DB_dbo.BI_DB_Demo_CID_Panel,Daily,SB_Daily,0,USER_TABLE,5/31/2026 6:13,12/2/2024 9:56,UpdateDate,0.2,KEEP,KEEP
BI_DB_dbo.SP_Diversification,BI_DB_dbo.BI_DB_Diversification,Daily,SB_Daily,0,USER_TABLE,5/16/2026 6:58,8/22/2023 17:13,UpdateDate,15.2,KEEP,KEEP
BI_DB_dbo.SP_Document_Vendors,BI_DB_dbo.BI_DB_Document_Vendors,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:08,12/2/2024 9:45,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_Dummy,BI_DB_dbo.BI_DB_Dummy,Daily,SB_Daily,0,USER_TABLE,,3/13/2024 19:05,modify_date,808.7,A3_DAILY_365D,blacklist
BI_DB_dbo.SP_DWH_CIDs7DaysDeviation,BI_DB_dbo.DWH_CIDs7DaysDeviation,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:56,4/29/2021 16:02,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_DWH_CIDsDailyRisk,BI_DB_dbo.DWH_CIDsDailyRisk,Daily,SB_Daily,0,USER_TABLE,5/31/2026 5:27,4/29/2021 16:05,UpdateDate,0.3,KEEP,KEEP
BI_DB_dbo.SP_DWH_GainDaily,BI_DB_dbo.DWH_GainDaily,Daily,SB_Daily,0,USER_TABLE,5/31/2026 4:58,11/9/2023 7:32,UpdateDate,0.3,KEEP,KEEP
