"ProcedureName","TableName","TableSchema","BareTable","FrequencySP","Priority","ProcessType","ProcessName"
"BI_DB_dbo.SP_Cross_Selling_Daily","BI_DB_dbo.BI_DB_Cross_Selling_Daily","BI_DB_dbo","BI_DB_Cross_Selling_Daily","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Cross_Selling_Monthly","BI_DB_dbo.BI_DB_Cross_Selling_Monthly","BI_DB_dbo","BI_DB_Cross_Selling_Monthly","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Crypto_Active_Open_Churn_Winback","BI_DB_dbo.BI_DB_Crypto_Active_Open_Churn_Winback","BI_DB_dbo","BI_DB_Crypto_Active_Open_Churn_Winback","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Crypto_Top_1000_List","BI_DB_dbo.Crypto_Top_1000_List","BI_DB_dbo","Crypto_Top_1000_List","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CryptoMarketingList","BI_DB_dbo.BI_DB_CryptoMarketingList","BI_DB_dbo","BI_DB_CryptoMarketingList","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CustomerFirst5OpenPositions","BI_DB_dbo.BI_DB_CustomerFirst5OpenPositions","BI_DB_dbo","BI_DB_CustomerFirst5OpenPositions","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CustomerFirst5OpenPositions","BI_DB_dbo.BI_DB_CustomerCross","BI_DB_dbo","BI_DB_CustomerCross","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CustomerFirst5OpenPositions","BI_DB_dbo.BI_DB_CustomerCross_New","BI_DB_dbo","BI_DB_CustomerCross_New","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_CySEC_Submission_ICF","BI_DB_dbo.BI_DB_CySEC_Submission_ICF","BI_DB_dbo","BI_DB_CySEC_Submission_ICF","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_D_Compliance_Surveillance_KYC_PnL_Monitoring","BI_DB_dbo.BI_DB_Compliance_Surveillance_KYC_PnL_Monitoring","BI_DB_dbo","BI_DB_Compliance_Surveillance_KYC_PnL_Monitoring","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_D_Compliance_Surveillance_ShortTermTrades","BI_DB_dbo.BI_DB_Compliance_Surveillance_ShortTermTrades","BI_DB_dbo","BI_DB_Compliance_Surveillance_ShortTermTrades","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_D_Compliance_Surveillance_Snapshot","BI_DB_dbo.BI_DB_Compliance_Surveillance_Snapshot","BI_DB_dbo","BI_DB_Compliance_Surveillance_Snapshot","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Daily_CID_Dividend_TaxReport","BI_DB_dbo.BI_DB_Daily_CID_Dividend_TaxReport","BI_DB_dbo","BI_DB_Daily_CID_Dividend_TaxReport","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Daily_HighCashoutEmailsForManagement","BI_DB_dbo.BI_DB_Daily_HighCashoutEmailsForManagement","BI_DB_dbo","BI_DB_Daily_HighCashoutEmailsForManagement","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_Daily_Open_Closed_Position","BI_DB_dbo.BI_DB_Daily_Open_Closed_Position","BI_DB_dbo","BI_DB_Daily_Open_Closed_Position","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DailyGain_History","BI_DB_dbo.BI_DB_DailyGain_History","BI_DB_dbo","BI_DB_DailyGain_History","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DailyNOP_ByInstrument","BI_DB_dbo.BI_DB_DailyNOP_ByInstrument","BI_DB_dbo","BI_DB_DailyNOP_ByInstrument","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DailyPanel_Copy","BI_DB_dbo.BI_DB_DailyPanel_Copy","BI_DB_dbo","BI_DB_DailyPanel_Copy","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DailyRiskAlert","BI_DB_dbo.BI_DB_DailyRiskAlert","BI_DB_dbo","BI_DB_DailyRiskAlert","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DCM_Dashboard","BI_DB_dbo.BI_DB_DCM_Dashboard","BI_DB_dbo","BI_DB_DCM_Dashboard","Daily","0","1","SB_Daily"
"BI_DB_dbo.SP_DDR_Fact_MIMO_Options_Platform","BI_DB_dbo.BI_DB_DDR_Fact_MIMO_Options_Platform","BI_DB_dbo","BI_DB_DDR_Fact_MIMO_Options_Platform","Daily","0","1","SB_Daily"
