"ProcedureName","TableName","IsActive","FrequencySP","ProcessType","ProcessName","Priority","last_success","last_failure","last_seen","successes_90d","failures_90d","phase_a_verdict","proc_kind"
"BI_DB_dbo.SP_Client_Balance_New","BI_DB_dbo.BI_DB_Client_New_CompensationBreakdown","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Copyfunds_Watched_Not_Invested","BI_DB_dbo.BI_DB_Copyfunds_Watched_Not_Invested","1","Daily","1","SB_Daily","0","2025-03-10 05:22:14","2025-03-12 05:46:38","2025-03-12 05:46:38","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Crypto_NOP","BI_DB_dbo.BI_DB_Crypto_NOP_CID","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_CycleGap","BI_DB_dbo.BI_DB_CycleGap","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_D_Email_for_KYT","BI_DB_dbo.Email_for_KYT","1","Daily","1","SB_Daily","0","2024-04-25 06:33:03","","2024-04-25 06:33:03","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Daily_CB_Gaps_All","BI_DB_dbo.BI_DB_Daily_CB_Gaps_All","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Daily_CreditLine","BI_DB_dbo.BI_DB_Daily_CreditLine","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Daily_Dividends","BI_DB_dbo.BI_DB_Daily_Dividends","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_Daily_PI_Performance_COPYDATA_RuningSideBySide","BI_DB_dbo.BI_DB_Daily_PI_Performance_COPYDATA_RuningSideBySide","1","Daily","1","SB_Daily","0","2024-03-16 20:25:45","","2024-03-16 20:25:45","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_DailyDividendsByPosition","BI_DB_dbo.BI_DB_DailyDividendsByPosition","1","Daily","4","SB_Daily","99","2025-01-21 04:01:33","2023-11-02 07:04:44","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
"BI_DB_dbo.SP_DailyZero_TreeSize_NEW","BI_DB_dbo.BI_DB_DailyZero_TreeSize_NEW","1","Daily","4","FinanceReportSPS","99","2025-01-21 04:01:33","","2025-01-21 04:01:33","0","0","A4_DAILY_365D","synapse_sp"
