ProcedureName,ProcessName,Priority,IsActive,schema_prefix
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_RequestTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_StakingStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_TransactionStatus,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_TransactionTypes,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_WalletPoolStatuses,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_WalletProvider,SB_Daily,80,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-CopyFromLake.WalletDB_Dictionary_WalletTypes,SB_Daily,80,1,DE_dbo
BI_DB_dbo.SP_UsageTracking_SF,SB_Daily,70,1,BI_DB_dbo
eMoney_dbo.SP_eMoney_ClientBalance,SB_Daily,70,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Reconciliation_ETLs,SB_Daily,70,1,eMoney_dbo
BI_DB_dbo.SP_DDR_Customer_Daily_Status,SB_Daily,60,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Customer_Periodic_Status,SB_Daily,60,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Fact_AUM,SB_Daily,60,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Fact_Fact_MIMO_AllPlatforms,SB_Daily,60,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Fact_MIMO_eMoney_Platform,SB_Daily,60,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Fact_PnL,SB_Daily,60,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Fact_Revenue_Generating_Actions,SB_Daily,60,1,BI_DB_dbo
BI_DB_dbo.SP_DDR_Fact_Trading_Volumes_And_Amounts,SB_Daily,60,1,BI_DB_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.AccountsProviderHoldersMapping,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.CardsProvidersMapping,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.CurrencyBalancesProvidersMapping,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatAccount,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatAccountsProperties,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatAccountStatuses,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatBankAccount,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatCards,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatCardStatuses,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatCurrencyBalances,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_dbo.FiatCurrencyBalancesStatuses,SB_Daily,60,1,DE_dbo
DE_dbo.SP_CopyLakeToSynapse-eMoney_google_sheets.emoney_test_users,SB_Daily,60,1,DE_dbo
DE_dbo.SP_Extract_eMoney_CMR_to_lake_for_snapshot,SB_Daily,60,1,DE_dbo
eMoney_dbo.SP_eMoney_Account_Mappings,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Calculated_Balance,SB_Daily,60,0,eMoney_dbo
eMoney_dbo.SP_eMoney_Client_Balance_Check_Exceptions_Gap,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Client_Balance_Check_Opening_Balance,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Customer_Risk_Assessment,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Daily_Shortfall_CID_Level,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Dim_Account,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_DimFact_Transaction,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Panel_FirstDates,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Risk_Portfolio,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_Snapshot_Settled_Balance,SB_Daily,60,1,eMoney_dbo
eMoney_dbo.SP_eMoney_UserData_Marketing,SB_Daily,60,1,eMoney_dbo
EXW_dbo.SP_EXW_30DayBalanceExtract,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_AMLProviderID,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_DimUser_Enriched,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_EthFeeSent_Blockchain,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_Fact_Transactions,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_FactBalance,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_FactRedeemTransactions,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_FinanceReportsBalancesNew,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_FirstTimeWalletsAndUsers,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_RedeemReconciliation,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_Transactions_Monthly,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_UserCalculatedBalance,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_UserSettingsWalletAllowance,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_EXW_WalletUsers_30_Days,SB_Daily,60,1,EXW_dbo
EXW_dbo.SP_WalletLogins,SB_Daily,60,1,EXW_dbo
BI_DB_dbo.SP_PositionPnL_Agg_daily_Staking,SB_Daily,21,1,BI_DB_dbo
BI_DB_dbo.SP_Reg_UK_Compliance_VolumeByInstrument,SB_Daily,21,1,BI_DB_dbo
BI_DB_dbo.SP_W_Tue_Reg_UK_Compliance_KYC_Weekly_Export,SB_Daily,21,1,BI_DB_dbo
BI_DB_dbo.SP_W_Tue_Reg_UK_Compliance_Professional_OptUp,SB_Daily,21,1,BI_DB_dbo
Dealing_dbo.SP_Capital_Adequacy_IFR_KPMG,SB_Daily,21,1,Dealing_dbo
Dealing_dbo.SP_Dealing_DSC_HedgeOnIndices,SB_Daily,21,1,Dealing_dbo
Dealing_dbo.SP_NOP_LPandClients,SB_Daily,21,1,Dealing_dbo
BI_DB_dbo.SP_AccountClosure,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Affiliate_Fraud_Loss,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_AffiliateFTDsAndURLS,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Affiliates_VerificationSLA,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_AM_Contacted,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_AML_Documents_Dashboard,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_AML_PlayerStatus_Changes,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_AML_SAR_Report,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_AML_SubEntity_Categorization,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_ASIC_CreditLine_At_transfer,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_ASIC_Monthly_Positions,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_AvgHoldingTime,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_BI_DB_Crypto_Airdrop,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_BI_DB_Scored_Appropriateness_Negative_Market,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Bing_PBI,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Blocked_Customers,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Capital_Guarantee,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_ChargebackReport,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_CID_Compliance_CID_And_Country_Risk_Lists,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_CID_Daily_AcquisitionFunnel_VBT,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_CID_DailyCopyRevenue,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_CIDFunnelFlow,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Client_Balance_Breakdown,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_ClubChangeLogProduct,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_ClusteringDailyPrepData,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_CorporatesSummaryReport,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_CryptoDashboard,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_D_LTV_BI_Actual_Snapshot,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Daily_TradeData,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_DailyCommisionReport,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_DepositUsersFirstTouchPoints,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_EndOfDayReport_Redeems,SB_Daily,20,0,BI_DB_dbo
BI_DB_dbo.SP_Equity_Real_Crypto_Stocks_Total_Cash_by_Regulation,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_eTorian_PnL_NetProfit,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_FB_Perf_Conv,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_FCA_Liabilities,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Finance_Cashout_RollbackDetails,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Finance_Net_MIMO,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Finance_Panel_Reports_New,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Flare_Eligibility,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_HighCOsAndRedeemsWithSF,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_HighRedeemsApprovalForManagement,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_IFRS_15_Balance,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Inactivity_Fees,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Index_Divident_TaxReport,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Index_Divident_TaxReport_CID_Level,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_Instrument_Details_During_Call,SB_Daily,20,0,BI_DB_dbo
BI_DB_dbo.SP_InstrumentsAlerts,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_InvestorKPI,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_InvestorReport,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_InvestorReportDetails,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_InvestorReportTop10,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_KYC_eToroMoney_UpgradedClubMembers,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_LimitedAccountsWithReasons,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_LiveAcquisitionDashboard_Daily,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_M_Active_Aff_Monthly_Region_GroupAff,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_M_Active_Affiliate_Monthly,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_M_AML_Report,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_M_CryptoRebateDiamond,SB_Daily,20,1,BI_DB_dbo
BI_DB_dbo.SP_M_Finance_Audit_Auxillary_Datapoints,SB_Daily,20,1,BI_DB_dbo
