class,phrase,table_fqn,query_count,unique_users,owning_skill_id,hub_skill_id,genie_space_id,genie_space_name,registered_table_count,actual_used_table_count,unused_registered_count,unregistered_used_count,used_not_documented_count,top_used_tables,unused_registered_sample,unregistered_used_sample,used_not_documented_sample,suggested_action
A,null_risk_score_8_days_after_first_deposit,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'null_risk_score_8_days_after_first_deposit' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,silverandabovemultipleaccountsfunding,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'silverandabovemultipleaccountsfunding' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,silverandabovemultipleaccountsfunding,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'silverandabovemultipleaccountsfunding' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,silverandabovemultipleaccountsfunding,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'silverandabovemultipleaccountsfunding' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,silverandabovemultipleaccountsfunding,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'silverandabovemultipleaccountsfunding' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,silverandabovemultipleaccountsfunding,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'silverandabovemultipleaccountsfunding' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,silverandabovemultipleaccountsfunding,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'silverandabovemultipleaccountsfunding' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,silverandabovemultipleaccountsfunding,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'silverandabovemultipleaccountsfunding' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,is_platinum_high_risk,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'is_platinum_high_risk' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,is_platinum_high_risk,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'is_platinum_high_risk' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,is_platinum_high_risk,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'is_platinum_high_risk' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,is_platinum_high_risk,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'is_platinum_high_risk' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,is_platinum_high_risk,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'is_platinum_high_risk' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,is_platinum_high_risk,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'is_platinum_high_risk' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,is_platinum_high_risk,,28,,aml-risk-scoring,domain-compliance-and-aml,,,,,,,,,,,,PROMOTE phrase 'is_platinum_high_risk' from sub-skill triggers to hub 'domain-compliance-and-aml' triggers
A,spain_ftds,,28,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'spain_ftds' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,ftd_amount,,27,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'ftd_amount' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,accountsubprogram,,27,,emoney-accounts-and-cards,domain-payments,,,,,,,,,,,,PROMOTE phrase 'accountsubprogram' from sub-skill triggers to hub 'domain-payments' triggers
A,playerstat,,27,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'playerstat' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,optionsfirstdeposited,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'optionsfirstdeposited' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,optionsfirstdeposited,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'optionsfirstdeposited' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,optionsfirstdeposited,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'optionsfirstdeposited' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,depositedoptions,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'depositedoptions' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,depositedoptions,,27,,revenue-options-platform,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'depositedoptions' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
