column_name,occurrence_count,distinct_tables
@Created,21,21
comment,21,21
T,21,21
input_file_name,21,21
ExchangeFee,21,21
Identity,21,21
RateBid,21,21
Sigma,21,21
MifidCategorization,21,21
OrderStatus,21,21
RateAsk,21,21
LastOpPriceRate,21,21
SpreadedPipAsk,21,21
GroupID,21,21
DesignatedRegulationID,21,21
TanganyID,21,21
Tradable,21,21
LastOpPriceRateID,21,21
OccurredAsDate,21,21
IsFuture,21,21
OriginalCID,21,21
ReferralID,21,21
SpreadedPipBid,21,21
ValueDate,21,21
fix_date,21,21
isin,21,21
Comment,21,21
Strike,21,21
AccountStatusName,21,21
Delay,21,21
EventType,21,21
ReportingDate,21,21
_alert_type,21,21
SendID,20,20
OrderTP,20,20
Label_isAbuse,20,20
CurrentIsNoSL,20,20
PartnerAccountKey,20,20
Report_Date,20,20
UnitsOnOpen,20,20
WalletId,20,20
OrderSL,20,20
VerificationLevel,20,20
VisibleInternallyOnly,20,20
user_cid,20,20
user_total_position_count,20,20
Offset,20,20
CurrentTP,20,20
CurrentIsNoTP,20,20
DocsOK,20,20
DisplayName,20,20
PlayerStatusSubReasonName,20,20
SeychellesCategorizationID,20,20
units,20,20
AccountName,20,20
CurrentSL,20,20
RegionByIP_ID,20,20
user_first_position_open_to_close_minutes_clipped,20,20
Percentile,20,20
user_withdraw_most_date,20,20
friend_total_position_count,20,20
AccountID,20,20
DeltaSquared,20,20
Sedol,19,19
Status__c,19,19
ModelVersion,19,19
HedgeExecutionModeID,19,19
POBCountryID,19,19
ClubTier,19,19
FullDate,19,19
ClientID,19,19
value,19,19
LastUpdate,19,19
response,19,19
SpreadedCommission,19,19
EventID,19,19
OmsParam,19,19
CloseOnEndOfWeek,19,19
Balance,19,19
ISINCountryCode,19,19
SchemaName,19,19
PegPrice,19,19
client_request_id,19,19
Subject,19,19
FirstPosOpenDate,19,19
ModelParameter,19,19
PaymentStatusID,19,19
EmailAddress,19,19
category,19,19
request,19,19
ProviderId,19,19
Activity,19,19
amount,19,19
country_name,19,19
HostName,19,19
PushOptIn,19,19
LastLoggedIn,19,19
Ccy_Pair,19,19
product_id,19,19
friend_FTD,19,19
CreatedAt,19,19
ExchangeDescription,19,19
country_id,19,19
HedgeID,19,19
LanguageName,18,18
DocumentStatusID,18,18
DatabaseName,18,18
all_conversions,18,18
conversions,18,18
country_code,18,18
friend_positions_count_until_decision_time_clipped,18,18
user_positions_count_until_decision_time_clipped,18,18
ForexResultID,18,18
IsPartialCloseChild,18,18
CanDeposit,18,18
user_FTD,18,18
Seniority,18,18
AccountExpirationDate,18,18
friend_registered,18,18
CountryIDByIP,18,18
Deposit,18,18
RiskGroup,18,18
friend_cid,18,18
industryGroup,18,18
industrySector,18,18
StatusReasonID,18,18
CopyPositionPnL,18,18
PhoneVerificationDate,18,18
user_registered,18,18
BeginDate,18,18
user_amount_invested_now_clipped,18,18
user_FTD_amount,18,18
code,18,18
ExecutionPriceRateID,18,18
friend_FTD_amount,18,18
EVAL_decision_time,18,18
report_code,18,18
status_code,18,18
NewMarketingRegion,18,18
EquiLendID,18,18
ReferenceNumber,18,18
ClientViewRateID,18,18
Username,18,18
updated_at,18,18
friend_amount_invested_now_clipped,18,18
execution_duration_ms,18,18
EventPayloadRowData_OperationType,17,17
IsReal,17,17
quarter_label,17,17
IsDLTUser,17,17
MerchantAccountID,17,17
MarketRangeValidationType,17,17
CitizenshipCountry,17,17
DaysInCurrentClub,17,17
FirstLoggedIn,17,17
HolderId,17,17
MarketRangePercentage,17,17
Industry,17,17
AssetClass,17,17
LoanCurrency,17,17
request_time,17,17
club,17,17
LP,17,17
CanRequestWithdraw,17,17
SuitabilityTestStatusID,17,17
age,17,17
BuyCurrencyID,17,17
LiquidityAccountName,17,17
quarter_sort_key,17,17
CanOpenPosition,17,17
Clients_AmountUSD,17,17
ClientAccountID,17,17
CanEditPosition,17,17
idBbGlobalCompanyName,17,17
PlatformID,17,17
KYCFlow,17,17
PremiumAccount,17,17
BatchID,17,17
SEDOL,17,17
RN,17,17
CanClosePosition,17,17
Security_Description,17,17
StocksOrderID,17,17
classification,17,17
OrderId,17,17
TotalMirrorPositionsAmount,17,17
request_date,17,17
CurrencyCode,17,17
TotalMirrorCash,17,17
CanBeCopied,17,17
workflow_name,16,16
PnL_client_30,16,16
PnL_client_10,16,16
eToro_Rate,16,16
mp_event_name,16,16
ref_dt,16,16
rn,16,16
PnL_client_4,16,16
TransactionId,16,16
msg_def_idr,16,16
PnL_client_19,16,16
valtn_rcncltn,16,16
DepositGroup,16,16
frthr_mod,16,16
Month,16,16
Cash,16,16
PnL_client_16,16,16
PnL_client_8,16,16
view_through_conversions,16,16
etoro_pnl_day,16,16
PnL_client_14,16,16
SubSerialID,16,16
PnL_client_2,16,16
PnL_client_20,16,16
PnL_client_25,16,16
ExternalID,16,16
PnL_client_32,16,16
ApexID,16,16
PnL_client_5,16,16
CreditID,16,16
Notes,16,16
IsGermanBaFin,16,16
rcncltn,16,16
PnL_client_26,16,16
PnL_client_24,16,16
biz_msg_idr,16,16
SettlementDate,16,16
PnL_client_27,16,16
friend_FTD_amount_log1p,16,16
Product,16,16
ReportName,16,16
EVAL_friend_withdraw_most_date,16,16
databricks_request_id,16,16
ingest_ts_utc,16,16
SubscriberID,16,16
CalendarYear,16,16
rvvd,16,16
PnL_client_18,16,16
Bankruptcy,16,16
PnL_client_15,16,16
cre_dt,16,16
ErrorMessage,16,16
ProductName,16,16
insert_date_time,16,16
pairg,16,16
PnL_client_31,16,16
CalendarYearMonth,16,16
PnL_client_21,16,16
PnL_client_6,16,16
PnL_client_12,16,16
StopRateUnAdjusted,16,16
PnL_client_28,16,16
EventName,16,16
user_FTD_amount_log1p,16,16
TV_Uni_Ccy,16,16
PnL_client_29,16,16
PnL_client_23,16,16
PnL_client_9,16,16
PnL_client_13,16,16
Time,16,16
GameServerID,16,16
PnL_client_11,16,16
Url,16,16
requester,16,16
NumOfCopiers,16,16
error_message,16,16
TV_PnL,16,16
EventPayloadRowData_Entity_Created,16,16
rptg_tp,16,16
RiskRuleCodes,16,16
PlayerStatusReasonName,16,16
Reason,16,16
AppInstallStatus,16,16
DateRangeID,16,16
PnL_client_7,16,16
Evangelist,16,16
PnL_client_22,16,16
LimitRateUnAdjusted,16,16
jirafor_settings_rn_d_bugs,16,16
NextOccurred,16,16
PnL_client_17,16,16
PnL_client_3,16,16
eqyShOutReal,15,15
marketSectorDes,15,15
EventPayloadRowData_Entity_Owner_Username,15,15
idSedol2,15,15
VerificationLevel3Date,15,15
idBbSecurity,15,15
idFrench,15,15
idCommon,15,15
sedol2CountryIso,15,15
RootHedgeServerID,15,15
idSedol1,15,15
idIsin,15,15
EventPayloadRowData_Entity_Id,15,15
idValoren,15,15
Gain_YTD,15,15
idMicLocalExch,15,15
idLocal,15,15
Group,15,15
campaign_name,15,15
EventPayloadRowData_Entity_Owner_Id,15,15
FundingType,15,15
idDutch,15,15
InstrumentCurrency,15,15
AllowBuy,15,15
MarketingRegion,15,15
Gain_MTD,15,15
idBbConnect,15,15
ToDate,15,15
compositeIdBbGlobal,15,15
CountryCode,15,15
OrderPriceRateID,15,15
user_new_positions_after_decision,15,15
tickerAndExchCode,15,15
OrderPriceRate,15,15
friend_v2_v1_diff_clipped,15,15
SettlementType,15,15
EventPayloadRowData_Requester_Id,15,15
Type__c,15,15
eqyPrimSecurityCompExch,15,15
ParentId,15,15
securityTyp,15,15
idCusip,15,15
OverNightFee,15,15
EventPayloadRowData_Requester_Avatar_Large,15,15
EVAL_friend_club,15,15
cntryOfDomicile,15,15
pxTradeLotSize,15,15
feedSource,15,15
friend_club_ordered,15,15
ProgramId,15,15
Fee,15,15
report_date,15,15
CreationDate,15,15
Account__c,15,15
idBbUnique,15,15
idBelgium,15,15
Gain_QTD,15,15
rc,15,15
table_name,15,15
eToro_LocalAmount,15,15
served_entity_id,15,15
ListID,15,15
PlayerStatusName,15,15
url,15,15
HasWallet,15,15
InitForexRateUnAdjusted,15,15
user_earliest_open,15,15
CallAccountManagerID,15,15
EventPayloadRowData_Requester_CountryCode,15,15
idBbSecNumDes,15,15
idExchSymbol,15,15
tradingSystemIdentifier,15,15
exchCode,15,15
InitDateTime,15,15
HolderAmount,15,15
EventPayloadRowData_Requester_Username,15,15
Office,15,15
EventPayloadRowData_Requester_Avatar_Small,15,15
pxQuoteLotSize,15,15
Portfolio,15,15
idBbPrimSecurityFlag,15,15
idWertpapier,15,15
cntryOfIncorporation,15,15
EventPayloadRowData_Requester_Avatar_Medium,15,15
tradingSystemIdentifierDes,15,15
idBbGlobal,15,15
idMicPrimExch,15,15
eqyShOut,15,15
AmountInUnitsDecimalUnAdjusted,15,15
pxRoundLotSize,15,15
marketStatus,15,15
Benchmark,15,15
LotCountDecimalUnAdjusted,15,15
source,15,15
TicketFees,15,15
CallAccountManager,15,15
user_v2_v1_diff_clipped,15,15
DateCreated,15,15
ProfessionalApplicationDate,15,15
start_date,15,15
EventPayloadRowData_Requester_IsBlocked,15,15
cntryIssueIso,15,15
crncy,15,15
eqyPrimExchShrt,15,15
primaryExchangeName,15,15
sedol1CountryIso,15,15
AccountAlias,15,15
TSLPriceDiff,15,15
LastActionDateForLifeStage,15,15
EntryHedgeQuery,14,14
scenario,14,14
EventPayloadRowData_Entity_Owner_IsBlocked,14,14
is_active,14,14
Direction,14,14
LiquidityProviderTypeID,14,14
MarketPriceRateUnAdjusted,14,14
TanganyStatusID,14,14
sampling_fraction,14,14
MarketPriceRate,14,14
latitude,14,14
NOP_10,14,14
PhoneVerifiedID,14,14
DemoCID,14,14
Entity,14,14
OpenExposureID,14,14
email,14,14
button_type,14,14
OrderNumber,14,14
CompensationReasonID,14,14
workspace_name,14,14
RegulationIDOnOpen,14,14
TICKER,14,14
Active,14,14
IPAddress,14,14
EVAL_FUTURE_friend_time_to_withdraw_most,14,14
IsHedged,14,14
RealProviderID,14,14
EventPayloadRowData_Entity_ObsoleteId,14,14
CalendarQuarter,14,14
IsParent,14,14
FirstAction,14,14
activity,14,14
Score,14,14
element_name,14,14
OriginalProviderID,14,14
Rebate,14,14
Fax,14,14
ProgramName,14,14
CID__c,14,14
element_subname,14,14
OrderPriceRateUnAdjusted,14,14
WorkDate,14,14
EventPayloadRowData_Entity_Owner_CountryCode,14,14
IsRecurring,14,14
card_name,14,14
