normalized_concept,hub_count,claiming_hubs,variant_count,variants,file_count,source_fields
main dealing gold_sql_dp_prod_we_dealing_dbo_dealing_staking_summary,2,domain-revenue-and-fees; domain-staking,1,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_staking_summary,7,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_dim_actiontype,2,domain-cross; domain-customer-and-identity,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_actiontype,2,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_dim_paymentstatus,2,domain-cross; domain-payments,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_paymentstatus,2,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,2,domain-cross; domain-payments,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,6,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,2,domain-cross; domain-payments,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,4,required_tables
main dwh gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,2,cross-cutting; domain-customer-and-identity,1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,3,required_tables
main etoro_kpi_prep v_fact_customeraction_w_metrics,2,domain-customer-and-identity; domain-trading,1,main.etoro_kpi_prep.v_fact_customeraction_w_metrics,2,required_tables
main etoro_kpi_prep v_mimo_optionsplatform,2,domain-options; domain-revenue-and-fees,1,main.etoro_kpi_prep.v_mimo_optionsplatform,2,required_tables
main etoro_kpi_prep v_moneyfarm_fees,2,domain-moneyfarm; domain-revenue-and-fees,1,main.etoro_kpi_prep.v_moneyfarm_fees,5,required_tables
main etoro_kpi_prep v_moneyfarm_mimo,2,domain-moneyfarm; domain-revenue-and-fees,1,main.etoro_kpi_prep.v_moneyfarm_mimo,7,required_tables
main etoro_kpi_prep v_population_active_traders,2,domain-customer-and-identity; domain-payments,1,main.etoro_kpi_prep.v_population_active_traders,3,required_tables
main etoro_kpi_prep v_population_first_time_funded,2,domain-customer-and-identity; domain-payments,1,main.etoro_kpi_prep.v_population_first_time_funded,3,required_tables
main etoro_kpi_prep v_population_first_trading_action,2,domain-customer-and-identity; domain-payments,1,main.etoro_kpi_prep.v_population_first_trading_action,2,required_tables
main etoro_kpi_prep v_revenue_optionsplatform,2,domain-options; domain-revenue-and-fees,1,main.etoro_kpi_prep.v_revenue_optionsplatform,5,required_tables
main etoro_kpi_prep v_revenue_stakingfee,2,domain-revenue-and-fees; domain-staking,1,main.etoro_kpi_prep.v_revenue_stakingfee,2,required_tables
