key,syn_name,dbx_name,syn_rows,dbx_rows,delta,ratio,update_col,syn_max_update,dbx_max_update,verdict
fiktivo_affiliateadmin_affiliatesgroups,fiktivo_AffiliateAdmin_AffiliatesGroups,fiktivo_affiliateadmin_affiliatesgroups,248,248,0,1.0000,,,,MATCH
fiktivo_affiliatecommission_credit,fiktivo_AffiliateCommission_Credit,fiktivo_affiliatecommission_credit,40513062,40513062,0,1.0000,UpdateDate,2026-05-24 00:28:59.0000000,2026-05-24 00:28:59,MATCH
fiktivo_affiliatecommission_creditcommission,fiktivo_AffiliateCommission_CreditCommission,fiktivo_affiliatecommission_creditcommission,41107663,41107663,0,1.0000,,,,MATCH
fiktivo_affiliatecommission_registration,fiktivo_AffiliateCommission_Registration,fiktivo_affiliatecommission_registration,47444166,47444166,0,1.0000,UpdateDate,2026-05-24 00:30:35.8270000,2026-05-24 00:30:35.827,MATCH
fiktivo_affiliatecommission_registrationcommission,fiktivo_AffiliateCommission_RegistrationCommission,fiktivo_affiliatecommission_registrationcommission,50346420,50346420,0,1.0000,,,,MATCH
fiktivo_dbo_tblaff_affiliates,fiktivo_dbo_tblaff_Affiliates,fiktivo_dbo_tblaff_affiliates,114145,114145,0,1.0000,,,,MATCH
fiktivo_dbo_tblaff_affiliatesgroups,,fiktivo_dbo_tblaff_affiliatesgroups,,243,,,,,,SYN_ONLY_MISSING
fiktivo_dbo_tblaff_affiliatetypes,fiktivo_dbo_tblaff_AffiliateTypes,fiktivo_dbo_tblaff_affiliatetypes,2183,2183,0,1.0000,,,,MATCH
fiktivo_dbo_tblaff_languages,fiktivo_dbo_tblaff_Languages,fiktivo_dbo_tblaff_languages,42,42,0,1.0000,,,,MATCH
fiktivo_dbo_tblaff_marketingexpense,fiktivo_dbo_tblaff_MarketingExpense,fiktivo_dbo_tblaff_marketingexpense,26,26,0,1.0000,,,,MATCH
fiktivo_dbo_tblaff_paymentdetails,fiktivo_dbo_tblaff_PaymentDetails,fiktivo_dbo_tblaff_paymentdetails,276116,276116,0,1.0000,,,,MATCH
fiktivo_dbo_tblaff_tier2members,fiktivo_dbo_tblaff_Tier2Members,fiktivo_dbo_tblaff_tier2members,37388,37388,0,1.0000,,,,MATCH
historycosts_dictionary_calculationtype,HistoryCosts_Dictionary_CalculationType,historycosts_dictionary_calculationtype,8,8,0,1.0000,,,,MATCH
