bucket_minute,started,avg_elapsed_ms,max_elapsed_ms,failed
2026-05-27 18:36:00,7,150,306,0
2026-05-27 18:37:00,5,213,308,0
2026-05-27 18:38:00,5,216,313,0
2026-05-27 18:39:00,198,1887,9657,60
2026-05-27 18:40:00,216,1737,10639,60
2026-05-27 18:41:00,28,94,849,0
2026-05-27 18:42:00,8,1598,11716,0
2026-05-27 18:43:00,5,211,308,0
2026-05-27 18:44:00,6,178,309,0
2026-05-27 18:45:00,199,115,2533,5
2026-05-27 18:46:00,5,239,342,0
2026-05-27 18:47:00,16,87,301,0
2026-05-27 18:48:00,34,136,1610,0
2026-05-27 18:49:00,5,207,296,0
2026-05-27 18:50:00,28,49422,146057,0
2026-05-27 18:51:00,43,2488,73254,0
2026-05-27 18:52:00,12,535,2705,0
2026-05-27 18:53:00,5,202,291,0
2026-05-27 18:54:00,7,143,288,0
2026-05-27 18:55:00,60,190,8052,0
2026-05-27 18:56:00,8,137,307,0
2026-05-27 18:57:00,5,239,340,0
2026-05-27 18:58:00,5,210,303,0
2026-05-27 18:59:00,6,197,339,0
2026-05-27 19:00:00,195,116,2580,5
2026-05-27 19:01:00,34,175,893,0
2026-05-27 19:02:00,8,1411,10223,0
2026-05-27 19:03:00,14,78,292,0
2026-05-27 19:04:00,8,134,308,0
2026-05-27 19:05:00,67,686,3328,0
2026-05-27 19:06:00,9,122,306,0
2026-05-27 19:07:00,47,7552,37904,0
2026-05-27 19:08:00,42,842,8912,0
2026-05-27 19:09:00,404,1468,9200,111
2026-05-27 19:10:00,651,241,6208,9
2026-05-27 19:11:00,142,392,11933,0
2026-05-27 19:12:00,35,361,10057,0
2026-05-27 19:13:00,6,184,324,0
2026-05-27 19:14:00,5,220,323,0
2026-05-27 19:15:00,261,12154,151341,12
2026-05-27 19:16:00,16,4168,39393,0
2026-05-27 19:17:00,51,13651,68629,1
2026-05-27 19:18:00,152,46167,231822,30
2026-05-27 19:19:00,46,4762,84225,2
2026-05-27 19:20:00,38,35970,151278,0
2026-05-27 19:21:00,132,92,2861,0
2026-05-27 19:22:00,117,910,33992,0
2026-05-27 19:23:00,8,132,286,0
2026-05-27 19:24:00,6,173,300,0
2026-05-27 19:25:00,9,297,442,0
2026-05-27 19:26:00,6,202,348,0
2026-05-27 19:27:00,6,174,306,0
2026-05-27 19:28:00,6,177,309,0
2026-05-27 19:29:00,5,218,316,0
2026-05-27 19:30:00,196,122,2536,5
2026-05-27 19:31:00,29,89,840,0
2026-05-27 19:32:00,10,1134,10226,0
2026-05-27 19:33:00,5,212,311,0
2026-05-27 19:34:00,5,242,341,0
2026-05-27 19:35:00,9,294,438,0
2026-05-27 19:36:00,7,155,313,0
2026-05-27 19:37:00,5,211,306,0
2026-05-27 19:38:00,6,175,306,0
2026-05-27 19:39:00,5,246,353,0
2026-05-27 19:40:00,50,180,562,10
2026-05-27 19:41:00,59,284,10232,8
2026-05-27 19:42:00,3,145,189,0
